finest_taxon,kingdom,class,order,family,genus,species,Mass_kg,Mass_source,notes
Ochrotomys nuttalli,Metazoa,Mammalia,Rodentia,Cricetidae,Ochrotomys,Ochrotomys nuttalli,0.02237,EltonTraits,NA
Odocoileus hemionus,Metazoa,Mammalia,Artiodactyla,Cervidae,Odocoileus,Odocoileus hemionus,53.86417,Tamburello_etal_2015,NA
Odocoileus hemionus californicus,Metazoa,Mammalia,Artiodactyla,Cervidae,Odocoileus,Odocoileus hemionus,53.86417,Tamburello_etal_2015,NA
Odocoileus hemionus columbianus,Metazoa,Mammalia,Artiodactyla,Cervidae,Odocoileus,Odocoileus hemionus,53.86417,Tamburello_etal_2015,NA
Odocoileus virginianus,Metazoa,Mammalia,Artiodactyla,Cervidae,Odocoileus,Odocoileus virginianus,87.88404,Tamburello_etal_2015,NA
Oncorhynchus gorbuscha,Metazoa,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus gorbuscha,3.74,EOL,NA
Ondatra zibethicus,Metazoa,Mammalia,Rodentia,Cricetidae,Ondatra,Ondatra zibethicus,1.36079,Tamburello_etal,NA
Onychomys arenicola,Metazoa,Mammalia,Rodentia,Cricetidae,Onychomys,Onychomys arenicola,0.03,EltonTraits,NA
Oreamnos americanus,Metazoa,Mammalia,Artiodactyla,Bovidae,Oreamnos,Oreamnos americanus,72.50033,EltonTraits,NA
Oryctolagus cuniculus,Metazoa,Mammalia,Lagomorpha,Leporidae,Oryctolagus,Oryctolagus cuniculus,1.6,Tamburello_etal_2015,NA
Oryx gazella,Metazoa,Mammalia,Artiodactyla,Bovidae,Oryx,Oryx gazella,169.00128,EltonTraits,NA
Oryzomys melanotis,Metazoa,Mammalia,Rodentia,Cricetidae,Handleyomys,Handleyomys melanotis,0.05,EltonTraits,NA
Osgoodomys banderanus,Metazoa,Mammalia,Rodentia,Cricetidae,Osgoodomys,Osgoodomys banderanus,0.05,EltonTraits,NA
Otospermophilus beecheyi,Metazoa,Mammalia,Rodentia,Sciuridae,Otospermophilus,Otospermophilus beecheyi,0.72575,Tamburello_etal_2015,NA
Otospermophilus variegatus,Metazoa,Mammalia,Rodentia,Sciuridae,Otospermophilus,Otospermophilus variegatus,0.69164,EltonTraits,NA
Ovis ammon,Metazoa,Mammalia,Artiodactyla,Bovidae,Ovis,Ovis ammon,180,EltonTraits,NA
Ovis aries,Metazoa,Mammalia,Artiodactyla,Bovidae,Ovis,Ovis aries,50,EltonTraits,NA
Ovis canadensis,Metazoa,Mammalia,Artiodactyla,Bovidae,Ovis,Ovis canadensis,90.71936,Tamburello_etal_2015,NA
Ovis canadensis mexicana,Metazoa,Mammalia,Artiodactyla,Bovidae,Ovis,Ovis canadensis,90.71936,Tamburello_etal_2015,NA
Ovis canadensis nelsoni,Metazoa,Mammalia,Artiodactyla,Bovidae,Ovis,Ovis canadensis,90.71936,Tamburello_etal_2015,NA
Ovis dalli,Metazoa,Mammalia,Artiodactyla,Bovidae,Ovis,Ovis dalli,55.65062,EltonTraits,NA
Panthera onca,Metazoa,Mammalia,Carnivora,Felidae,Panthera,Panthera onca,84.04077,Tamburello_etal,NA
Parabuteo unicinctus,Metazoa,Aves,Accipitriformes,Accipitridae,Parabuteo,Parabuteo unicinctus,0.73,Makarieva_etal_2005,NA
Passerculus sandwichensis,Metazoa,Aves,Passeriformes,Passerellidae,Passerculus,Passerculus sandwichensis,0.02,Best_etal_1996,NA
Pecari tajacu,Metazoa,Mammalia,Artiodactyla,Tayassuidae,Dicotyles,Dicotyles tajacu,21.26669,EltonTraits,NA
Pelecanus occidentalis,Metazoa,Aves,Pelecaniformes,Pelecanidae,Pelecanus,Pelecanus occidentalis,3.42784,EltonTraits,NA
Perognathus fasciatus,Metazoa,Mammalia,Rodentia,Heteromyidae,Perognathus,Perognathus fasciatus,0.01155,EltonTraits,NA
Perognathus parvus,Metazoa,Mammalia,Rodentia,Heteromyidae,Perognathus,Perognathus parvus,0.02178,EltonTraits,NA
Peromyscus aztecus,Metazoa,Mammalia,Rodentia,Cricetidae,Peromyscus,Peromyscus aztecus,0.04,EltonTraits,NA
Peromyscus boylii,Metazoa,Mammalia,Rodentia,Cricetidae,Peromyscus,Peromyscus boylii,0.02135,EltonTraits,NA
Peromyscus crinitus,Metazoa,Mammalia,Rodentia,Cricetidae,Peromyscus,Peromyscus crinitus,0.01798,EltonTraits,NA
Peromyscus gossypinus,Metazoa,Mammalia,Rodentia,Cricetidae,Peromyscus,Peromyscus gossypinus,0.02939,EltonTraits,NA
Peromyscus leucopus,Metazoa,Mammalia,Rodentia,Cricetidae,Peromyscus,Peromyscus leucopus,0.021,Hein_etal_2012,NA
Peromyscus maniculatus,Metazoa,Mammalia,Rodentia,Cricetidae,Peromyscus,Peromyscus maniculatus,0.016,Harestad_ Bunnel_1979,NA
Peromyscus perfulvus,Metazoa,Mammalia,Rodentia,Cricetidae,Peromyscus,Peromyscus perfulvus,0.04,EltonTraits,NA
Peromyscus polionotus,Metazoa,Mammalia,Rodentia,Cricetidae,Peromyscus,Peromyscus polionotus,0.01295,EltonTraits,NA
Philander opossum,Metazoa,Mammalia,Didelphimorphia,Didelphidae,Philander,Philander opossum,0.5855,EltonTraits,NA
Phoca vitulina,Metazoa,Mammalia,Carnivora,Phocidae,Phoca,Phoca vitulina,100,EltonTraits,NA
Phrynosoma cornutum,Metazoa,Lepidosauria,Squamata,Phrynosomatidae,Phrynosoma,Phrynosoma cornutum,0.055,Perry_Garland_2002,NA
Pituophis catenifer,Metazoa,Lepidosauria,Squamata,Colubridae,Pituophis,Pituophis catenifer,0.001586314,RepTraits,NA
Pituophis melanoleucus,Metazoa,Lepidosauria,Squamata,Colubridae,Pituophis,Pituophis melanoleucus,1.004,Tamburello_etal_2015,NA
Procyon lotor,Metazoa,Mammalia,Carnivora,Procyonidae,Procyon,Procyon lotor,8,Swihart_etal_1988,NA
Pseudacris regilla,Metazoa,Amphibia,Anura,Hylidae,Pseudacris,Pseudacris regilla,3.5e-4,"Stebbins, R. 2003. A Field Guide to Western Reptiles and Amphibians. Singapore: Houghton Mifflin Company.",NA
Puma concolor,Metazoa,Mammalia,Carnivora,Felidae,Puma,Puma concolor,89.99948,Tamburello_etal_2015,NA
Rana draytonii,Metazoa,Amphibia,Anura,Ranidae,Rana,Rana draytonii,0.032,NA,"Gary M. Fellers, Patrick M. Kleeman 2007. California Red-Legged Frog (Rana draytonii) Movement and Habitat Use: Implications for Conservation"
Rangifer tarandus,Metazoa,Mammalia,Artiodactyla,Cervidae,Rangifer,Rangifer tarandus,102.05869,Tamburello_etal_2015,NA
Rattus norvegicus,Metazoa,Mammalia,Rodentia,Muridae,Rattus,Rattus norvegicus,0.33833,EltonTraits,NA
Reithrodontomys fulvescens,Metazoa,Mammalia,Rodentia,Cricetidae,Reithrodontomys,Reithrodontomys fulvescens,0.0114,EltonTraits,NA
Reithrodontomys humulis,Metazoa,Mammalia,Rodentia,Cricetidae,Reithrodontomys,Reithrodontomys humulis,0.00831,EltonTraits,NA
Reithrodontomys megalotis,Metazoa,Mammalia,Rodentia,Cricetidae,Reithrodontomys,Reithrodontomys megalotis,0.009,Mace_Harvey_1983,NA
Rena humilis,Metazoa,Lepidosauria,Squamata,Leptotyphlopidae,Rena,Rena humilis,1.08788e-5,RepTraits,NA
Romerolagus diazi,Metazoa,Mammalia,Lagomorpha,Leporidae,Romerolagus,Romerolagus diazi,0.47665,EltonTraits,NA
Sauromalus ater,Metazoa,Lepidosauria,Squamata,Iguanidae,Sauromalus,Sauromalus ater,5.24807e-4,RepTraits,NA
Scalopus aquaticus,Metazoa,Mammalia,Eulipotyphla,Talpidae,Scalopus,Scalopus aquaticus,0.1035,Tamburello_etal_2015,NA
Scapanus latimanus,Metazoa,Mammalia,Eulipotyphla,Talpidae,Scapanus,Scapanus latimanus,0.055,EltonTraits,NA
Sciurus carolinensis,Metazoa,Mammalia,Rodentia,Sciuridae,Sciurus,Sciurus carolinensis,0.625,Mace_Harvey_1983,NA
Sciurus griseus,Metazoa,Mammalia,Rodentia,Sciuridae,Hesperosciurus,Hesperosciurus griseus,0.731,EltonTraits,NA
Sciurus niger,Metazoa,Mammalia,Rodentia,Sciuridae,Sciurus,Sciurus niger,0.95299,Tamburello_etal_2015,NA
Sigmodon fulviventer,Metazoa,Mammalia,Rodentia,Cricetidae,Sigmodon,Sigmodon fulviventer,0.214,EltonTraits,NA
Sigmodon hispidus,Metazoa,Mammalia,Rodentia,Cricetidae,Sigmodon,Sigmodon hispidus,0.08,Mace_Harvey_1983,NA
Sigmodon mascotensis,Metazoa,Mammalia,Rodentia,Cricetidae,Sigmodon,Sigmodon mascotensis,0.12,EltonTraits,NA
