Id,Scientific name,Interaction Type,Family ,Genus ,Specific epithet ,Plant,Scientific name authorship,Vernacular name,English vernacular name,Pollinators ref
120,Apis mellifera,Pollinates,Anacardiaceae,Spondias,mombin,Spondias mombin,L..,cajazeira,caja tree,"Oliveira MO, Freitas BM, Souza FX, Cavalcante MC, Milfont MO.  2010 Eficiência de polinização de duas espécies de abelhas visitantes florais da cajazeira (Spondias mombin L.), sob cultivo, na chapada do Apodi, Limoeiro do Norte-CE. Resumo em Anais de Congresso http://www.alice.cnptia.embrapa.br/handle/doc/875780"
121,Apis mellifera,Pollinates,Anacardiaceae,Spondias,mombin,Spondias mombin,L..,cajazeira,caja tree,"Oliveira MO. 2010. Abelhas visitantes florais e potenciais polinizadores da cajazeira (Spondia mombin L.) sob cultivo, na Chapada do Apodi, Ceará. Dissertação. Universidade Federal do Ceará"
122,Apis mellifera,Pollinates,Anacardiaceae,Spondias,mombin,Spondias mombin,L..,cajazeira,caja tree,"Oliveira, M.O.; Freitas, B.M.; Souza, F.X.; Cavalcante, M.C.; Milfont, M.O. 2010. Diversidade e abundância relativa das abelhas visitantes florais da cajazeira (Spondias mombin L.), sob cultivo, na chapada do apodi, limoeiro do norte – CE. IX Encontro Sobre Abelhas, p. 395."
123,Apis mellifera,Pollinates,Anacardiaceae,Spondias,mombin,Spondias mombin,L..,cajazeira,caja tree,"Venturieri, G.R.; Venturieri, G.C. 2010. Sistema reprodutivo e visitantes florais do taperebazeiro em Belém, PA, Brasil (Spondias mombin L. - Anacardiaceae). 14o Seminário de Iniciação Científica da EMBRAPA, p.1-4."
124,Apis mellifera,Pollinates,Amaryllidaceae,Allium,cepa,Allium cepa,L..,cebola,onion,"Lorenzon MCA, Ângelo GR, De Souza JRGC. 1993. Behavior of Trigona spinipes (Hymenoptera: Apidae) on flowering onion fields. Pesq. Agropec. Bras, Brasilia, v28, n2, p217-221"
125,Apis mellifera,Pollinates,Arecaceae,Cocos,nucifera,Cocos nucifera,L..,coqueiro,coconut tree,Castro M.S. 2002. Bee fauna of some tropical and exotic fruits: Potencial pollinators and their conservation. In: Kevan P & Imperatriz-Fonseca VL (e)- Pollinating bees- The Conservation Link Between Agriculture and Nature-Mnistry of Enviroment/ Brasilia. p.275-288.
126,Apis mellifera,Pollinates,Arecaceae,Cocos,nucifera,Cocos nucifera,L..,coqueiro,coconut tree,"Conceirção ES, Delabie JHC, Costa Neto AO. 2004. A Entomofilia do Coqueiro em Questão: Avaliação do Transporte de Pólen por Formigas e Abelhas nas Inflorescências. Neotropical Entomology. 33(6):679-683"
127,Apis mellifera,Pollinates,Proteaceae,Macadamia,integrifolia,Macadamia integrifolia,Maiden & Betche,macadamia,macadamia,Castro M.S. 2002. Bee fauna of some tropical and exotic fruits: Potencial pollinators and their conservation. In: Kevan P & Imperatriz-Fonseca VL (e)- Pollinating bees- The Conservation Link Between Agriculture and Nature-Mnistry of Enviroment/ Brasilia. p.275-288.
128,Apis mellifera,Pollinates,Rhamnaceae,Ziziphus,joazeiro,Ziziphus joazeiro,Mart.,juazeiro,juazeiro,"Nadia TL, Machado IC, Lopes AV. 2007. Reproductive phenology and pollination system of Ziziphus joazeiro Mart. (Rhamanaceae): the role of  Apis mellifera and autochthonous floral visitors as pollinators. Acta bot bras 21: 835-845."
129,Apis mellifera,Pollinates,Myrtaceae,Myrciaria,dubia,Myrciaria dubia,McVaugh,camu-camu,camu-camu,"Maués, M.M.; Couturier, G. 2002. Biologia floral e fenologia reprodutiva do camu-camu (Myrciaria dubia (H.B.K.) McVaugh, Myrtaceae) no Estado Pará, Brasil. Revista Brasil. Bot., V.25, p.441-448."
130,Apis mellifera,Pollinates,Lauraceae,Persea,americana,Persea americana,Mill.,abacate,avocado,Castro M.S. 2002. Bee fauna of some tropical and exotic fruits: Potencial pollinators and their conservation. In: Kevan P & Imperatriz-Fonseca VL (e)- Pollinating bees- The Conservation Link Between Agriculture and Nature-Mnistry of Enviroment/ Brasilia. p.275-288.
