"","species","latitude","longitude","sociality","body_mass_g"
"229","Bathyergus suillus",-34.258992,18.382107,"solitary",780
"230","Bathyergus suillus",-33.465491,18.718478,"solitary",780
"231","Bathyergus suillus",-33.952124,18.484526,"solitary",780
"232","Bathyergus suillus",-34.032469,22.87068,"solitary",780
"233","Bathyergus suillus",-32.819985,17.859675,"solitary",780
"234","Bathyergus suillus",-34.116192,18.413406,"solitary",780
"235","Bathyergus suillus",-33.858611,18.509232,"solitary",780
"236","Bathyergus suillus",-34.078508,22.146772,"solitary",780
"237","Bathyergus suillus",-34.044056,18.482892,"solitary",780
"238","Bathyergus suillus",-33.34304,18.170408,"solitary",780
"239","Bathyergus suillus",-33.836369,18.494138,"solitary",780
"240","Bathyergus suillus",-33.900033,18.482058,"solitary",780
"241","Bathyergus suillus",-33.828062,18.765203,"solitary",780
"242","Bathyergus suillus",-33.831013,18.490183,"solitary",780
"243","Bathyergus suillus",-34.231592,21.365161,"solitary",780
"244","Bathyergus suillus",-34.061695,18.521204,"solitary",780
"245","Bathyergus suillus",-33.754294,18.472978,"solitary",780
"246","Bathyergus suillus",-34.085988,18.470811,"solitary",780
"247","Bathyergus suillus",-34.156251,18.426269,"solitary",780
"248","Bathyergus suillus",-34.596396,19.493104,"solitary",780
"249","Bathyergus suillus",-34.060238,18.498093,"solitary",780
"250","Bathyergus suillus",-34.059557,18.502459,"solitary",780
"251","Bathyergus suillus",-34.055259,18.51955,"solitary",780
"252","Bathyergus suillus",-34.360519,19.112849,"solitary",780
"253","Bathyergus suillus",-34.057152,18.503299,"solitary",780
"254","Bathyergus suillus",-34.171045,18.336287,"solitary",780
"255","Bathyergus suillus",-34.669644,19.516426,"solitary",780
"256","Bathyergus suillus",-34.090577,18.472822,"solitary",780
"257","Bathyergus suillus",-34.059441,18.500295,"solitary",780
"258","Bathyergus suillus",-34.208967,18.400728,"solitary",780
"259","Bathyergus suillus",-34.332533,19.029094,"solitary",780
"260","Bathyergus suillus",-34.059414,18.500317,"solitary",780
"261","Bathyergus suillus",-33.900295,18.483375,"solitary",780
"262","Bathyergus suillus",-34.259167,21.909944,"solitary",780
"263","Bathyergus suillus",-34.381014,21.783219,"solitary",780
