sourceTaxonName,interactionTypeName,targetTaxonName,Mass_kg,Mass_source,decimalLatitude,decimalLongitude,localityName,sourceCitation
Canis latrans,eats,Alces alces,307.22744,Tamburello_etal_2015,46.83333333,-65,Greater Kouchibouguac National Park (Unprotected),"Middleton, O.S, Svensson, H, Scharlemann, J.P.W, Faurby, S, Sandom, C.J. CarniDIET 1.0: A database of terrestrial carnivorous mammal diets. Global Ecology and Biogeography. https://doi.org/10.1111/geb.13296."
Canis latrans,eats,Alces alces,307.22744,Tamburello_etal_2015,46.83333333,-65,Greater Kouchibouguac National Park (Unprotected),"Middleton, O.S, Svensson, H, Scharlemann, J.P.W, Faurby, S, Sandom, C.J. CarniDIET 1.0: A database of terrestrial carnivorous mammal diets. Global Ecology and Biogeography. https://doi.org/10.1111/geb.13296."
Canis latrans,eats,Alces alces,307.22744,Tamburello_etal_2015,47.4882,-114.3838,NA,"Middleton, O.S, Svensson, H, Scharlemann, J.P.W, Faurby, S, Sandom, C.J. CarniDIET 1.0: A database of terrestrial carnivorous mammal diets. Global Ecology and Biogeography. https://doi.org/10.1111/geb.13296."
Canis latrans,eats,Alces alces,307.22744,Tamburello_etal_2015,46.83333333,-65,NA,"Middleton, O.S, Svensson, H, Scharlemann, J.P.W, Faurby, S, Sandom, C.J. CarniDIET 1.0: A database of terrestrial carnivorous mammal diets. Global Ecology and Biogeography. https://doi.org/10.1111/geb.13296."
Canis lupus,eats,Alces alces,307.22744,Tamburello_etal_2015,80.8375,-46.26666667,NA,"Middleton, O.S, Svensson, H, Scharlemann, J.P.W, Faurby, S, Sandom, C.J. CarniDIET 1.0: A database of terrestrial carnivorous mammal diets. Global Ecology and Biogeography. https://doi.org/10.1111/geb.13296."
Canis latrans,eats,Alces alces,307.22744,Tamburello_etal_2015,43.7498,-110.0799,NA,"Middleton, O.S, Svensson, H, Scharlemann, J.P.W, Faurby, S, Sandom, C.J. CarniDIET 1.0: A database of terrestrial carnivorous mammal diets. Global Ecology and Biogeography. https://doi.org/10.1111/geb.13296."
Canis lupus,eats,Alces alces,307.22744,Tamburello_etal_2015,55.95,-113.8166667,West Side of the Athabasca River/Western portion of the East Side of the Athabasca River,"Middleton, O.S, Svensson, H, Scharlemann, J.P.W, Faurby, S, Sandom, C.J. CarniDIET 1.0: A database of terrestrial carnivorous mammal diets. Global Ecology and Biogeography. https://doi.org/10.1111/geb.13296."
Canis latrans,eats,Alces alces,307.22744,Tamburello_etal_2015,47.4882,-114.3838,NA,"Middleton, O.S, Svensson, H, Scharlemann, J.P.W, Faurby, S, Sandom, C.J. CarniDIET 1.0: A database of terrestrial carnivorous mammal diets. Global Ecology and Biogeography. https://doi.org/10.1111/geb.13296."
Canis lupus,eats,Alces alces,307.22744,Tamburello_etal_2015,55.95,-113.8166667,West Side of the Athabasca River/Western portion of the East Side of the Athabasca River,"Middleton, O.S, Svensson, H, Scharlemann, J.P.W, Faurby, S, Sandom, C.J. CarniDIET 1.0: A database of terrestrial carnivorous mammal diets. Global Ecology and Biogeography. https://doi.org/10.1111/geb.13296."
Canis lupus,eats,Alces alces,307.22744,Tamburello_etal_2015,55.95,-113.8166667,West Side of the Athabasca River/Western portion of the East Side of the Athabasca River,"Middleton, O.S, Svensson, H, Scharlemann, J.P.W, Faurby, S, Sandom, C.J. CarniDIET 1.0: A database of terrestrial carnivorous mammal diets. Global Ecology and Biogeography. https://doi.org/10.1111/geb.13296."
